user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AW110A-megahit_bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__	N/A	N/A	N/A	N/A	N/A	GCA_002361775.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__Oliverpabstia sp002361775	89.36	0.639	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oliverpabstia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000432335.1, s__Oliverpabstia sp000432335, 95.0, 80.28, 0.499; GCA_004556655.1, s__Oliverpabstia sp004556655, 95.0, 77.85, 0.244; GCA_004562915.1, s__Oliverpabstia sp004562915, 95.0, 77.71, 0.248; GCA_018374355.1, s__Oliverpabstia sp018374355, 95.0, 77.69, 0.251; GCF_009696065.1, s__Oliverpabstia intestinalis, 95.0, 77.43, 0.188; GCA_009929525.1, s__Oliverpabstia sp009929525, 95.0, 77.2, 0.222; GCF_004123145.1, s__Oliverpabstia faecicola, 95.0, 77.16, 0.2	39.56	11	0.9956	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AW110A-megahit_bin.10	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000479045.1, s__Cetobacterium_A somerae, 95.0, 86.92, 0.773; GCA_905216205.1, s__Cetobacterium_A sp905216205, 95.0, 86.71, 0.742; GCF_000799075.1, s__Cetobacterium_A sp000799075, 95.0, 81.9, 0.611; GCA_002428805.1, s__Cetobacterium_A sp002428805, 95.0, 80.65, 0.451; GCF_014250675.1, s__Cetobacterium_A sp014250675, 95.0, 80.45, 0.537; GCA_900766645.1, s__Cetobacterium_A sp900766645, 95.0, 79.61, 0.362	87.47	11	0.98882	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AW110A-megahit_bin.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__HGM11377;s__HGM11377 sp900755035	GCA_900755035.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__HGM11377;s__HGM11377 sp900755035	96.39	0.97	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__	N/A	N/A	N/A	N/A	N/A	GCA_902785325.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp003456415	80.21	0.609	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012519775.1, s__Succinivibrio sp012519775, 95.0, 79.39, 0.379; GCA_900316375.1, s__Succinivibrio sp900316375, 95.0, 79.07, 0.486; GCA_000431835.1, s__Succinivibrio sp000431835, 95.0, 79.05, 0.417; GCA_900315395.1, s__Succinivibrio sp900315395, 95.0, 78.97, 0.457; GCA_902776275.1, s__Succinivibrio sp902776275, 95.0, 78.95, 0.006; GCA_002449335.1, s__Succinivibrio sp002449335, 95.0, 78.72, 0.46; GCA_004556245.1, s__Succinivibrio hippei_B, 95.0, 78.32, 0.213; GCA_900770725.1, s__Succinivibrio sp900770725, 95.0, 78.19, 0.006; GCA_900316175.1, s__Succinivibrio sp900316175, 95.0, 78.06, 0.247; GCF_900116345.1, s__Succinivibrio dextrinosolvens_B, 95.0, 77.92, 0.207; GCF_011065405.1, s__Succinivibrio dextrinosolvens_A, 95.0, 77.79, 0.184; GCA_900317105.1, s__Succinivibrio sp900317105, 95.0, 77.68, 0.187; GCF_900167015.1, s__Succinivibrio dextrinosolvens, 95.0, 77.56, 0.23; GCA_017959135.1, s__Succinivibrio sp017959135, 95.0, 77.45, 0.152; GCA_905186145.1, s__Succinivibrio sp905186145, 95.0, 77.13, 0.193; GCA_900767695.1, s__Succinivibrio sp900767695, 95.0, 76.91, 0.006; GCA_017635415.1, s__Succinivibrio sp017635415, 95.0, 76.84, 0.034; GCA_902772715.1, s__Succinivibrio sp902772715, 95.0, 76.69, 0.063; GCA_900548485.1, s__Succinivibrio sp900548485, 95.0, 76.65, 0.118; GCA_004557545.1, s__Succinivibrio hippei_A, 95.0, 76.39, 0.014; GCA_002473165.1, s__Succinivibrio sp002473165, 95.0, 76.27, 0.011; GCA_905201175.1, s__Succinivibrio sp905201175, 95.0, 76.13, 0.103; GCA_003477345.1, s__Succinivibrio sp003477345, 95.0, 76.01, 0.032; GCA_900552905.1, s__Succinivibrio sp900552905, 95.0, 75.98, 0.115; GCA_900754255.1, s__Succinivibrio sp900555115, 95.0, 75.7, 0.029; GCA_017469335.1, s__Succinivibrio sp017469335, 95.0, 75.28, 0.011	73.59	11	0.98397	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AW110A-megahit_bin.13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Pelethenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Pelethenecus;s__	ANI	classification based on placement in class-level tree	GCA_910584005.1, s__Pelethenecus sp910584005, 95.0, 77.35, 0.278; GCA_900540705.1, s__Pelethenecus sp900540705, 95.0, 77.13, 0.144; GCA_910577745.1, s__Pelethenecus sp910577745, 95.0, 77.01, 0.237; GCA_910579215.1, s__Pelethenecus sp910579215, 95.0, 76.89, 0.144; GCA_900540175.1, s__Pelethenecus faecipullorum, 95.0, 75.95, 0.052	42.85	11	0.93272	N/A
AW110A-megahit_bin.14	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A sp900548825	GCF_018785175.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A sp900548825	97.74	0.937	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__	ANI	classification based on placement in class-level tree	GCF_000173815.1, s__Marvinbryantia formatexigens, 95.0, 76.52, 0.205; GCA_905201705.1, s__Marvinbryantia sp900550755, 95.0, 76.43, 0.167; GCA_002473385.1, s__Marvinbryantia sp002473385, 95.0, 76.33, 0.144; GCA_016297895.1, s__Marvinbryantia sp016297895, 95.0, 76.33, 0.087; GCA_003435055.1, s__Marvinbryantia sp900066075, 95.0, 76.22, 0.099; GCA_014385005.1, s__Marvinbryantia sp014385005, 95.0, 76.07, 0.106; GCA_900544685.1, s__Marvinbryantia sp900544685, 95.0, 75.84, 0.099	40.71	11	0.92593	N/A
AW110A-megahit_bin.16	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCF_000312145.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes senegalensis	92.8	0.832	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900083545.1, s__Alistipes provencensis, 95.0, 90.15, 0.827; GCF_900107675.1, s__Alistipes timonensis, 95.0, 90.09, 0.816; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 88.98, 0.777; GCF_000210575.1, s__Alistipes shahii, 95.0, 86.86, 0.67; GCA_900541585.1, s__Alistipes sp900541585, 95.0, 85.83, 0.682; GCF_015553985.1, s__Alistipes sp900549305, 95.0, 84.46, 0.715; GCF_006542685.1, s__Alistipes dispar, 95.0, 82.68, 0.564; GCF_000265365.1, s__Alistipes finegoldii, 95.0, 82.6, 0.598; GCF_002161445.1, s__Alistipes cottocaccae, 95.0, 82.31, 0.547; GCF_000374505.1, s__Alistipes onderdonkii, 95.0, 82.3, 0.553; GCA_900544265.1, s__Alistipes merdavium, 95.0, 82.01, 0.508; GCA_902388705.1, s__Alistipes sp902388705, 95.0, 81.8, 0.542; GCA_910576555.1, s__Alistipes sp910576555, 95.0, 81.63, 0.48; GCA_019118605.1, s__Alistipes faecavium, 95.0, 81.46, 0.514; GCF_900604385.1, s__Alistipes megaguti, 95.0, 81.26, 0.564; GCA_019113885.1, s__Alistipes intestinipullorum, 95.0, 81.24, 0.464; GCA_000434235.1, s__Alistipes avistercoris, 95.0, 81.22, 0.508; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 81.15, 0.547; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 81.03, 0.419; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 80.85, 0.43; GCA_019119615.1, s__Alistipes stercoravium, 95.0, 80.74, 0.475; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 80.67, 0.441; GCA_014796635.1, s__Alistipes sp014796635, 95.0, 80.12, 0.263; GCA_910575495.1, s__Alistipes sp910575495, 95.0, 80.08, 0.469; GCF_900290115.1, s__Alistipes excrementigallinarum, 95.0, 79.98, 0.447; GCA_009774895.1, s__Alistipes sp009774895, 95.0, 79.91, 0.341; GCA_002428825.1, s__Alistipes sp002428825, 95.0, 79.75, 0.419; GCA_900542505.1, s__Alistipes stercorigallinarum, 95.0, 79.73, 0.425; GCA_910580175.1, s__Alistipes sp910580175, 95.0, 79.64, 0.402; GCA_910584485.1, s__Alistipes sp910584485, 95.0, 79.57, 0.335; GCF_900021155.1, s__Alistipes excrementavium, 95.0, 79.57, 0.419; GCF_006542665.1, s__Alistipes communis, 95.0, 79.54, 0.425; GCA_902363575.1, s__Alistipes sp902363575, 95.0, 78.96, 0.307; GCA_900760675.1, s__Alistipes sp900760675, 95.0, 78.95, 0.374; GCA_910586375.1, s__Alistipes sp910586375, 95.0, 78.93, 0.24; GCA_910577475.1, s__Alistipes sp910577475, 95.0, 78.9, 0.374; GCA_900550375.1, s__Alistipes sp900550375, 95.0, 78.55, 0.274; GCA_900552955.1, s__Alistipes sp900552955, 95.0, 78.53, 0.341; GCF_000154465.1, s__Alistipes putredinis, 95.0, 78.32, 0.24; GCA_017555805.1, s__Alistipes sp017555805, 95.0, 78.22, 0.039; GCA_017624955.1, s__Alistipes sp017624955, 95.0, 78.08, 0.207; GCA_017555975.1, s__Alistipes sp017555975, 95.0, 78.03, 0.145; GCA_003979135.1, s__Alistipes sp003979135, 95.0, 77.98, 0.162; GCA_905214725.1, s__Alistipes sp905214725, 95.0, 77.89, 0.257; GCA_017631055.1, s__Alistipes sp017631055, 95.0, 77.72, 0.034; GCA_910587675.1, s__Alistipes sp910587675, 95.0, 77.7, 0.173; GCA_910574205.1, s__Alistipes sp002362235, 95.0, 77.62, 0.123; GCA_019118565.1, s__Alistipes avicola, 95.0, 77.58, 0.168; GCA_015059965.1, s__Alistipes sp015059965, 95.0, 77.57, 0.134; GCA_017437045.1, s__Alistipes sp017437045, 95.0, 77.54, 0.19; GCA_904502075.1, s__Alistipes sp904502075, 95.0, 77.45, 0.162; GCA_017623115.1, s__Alistipes sp017623115, 95.0, 77.39, 0.184; GCA_017555105.1, s__Alistipes sp017555105, 95.0, 77.37, 0.207; GCA_017547175.1, s__Alistipes sp017547175, 95.0, 77.35, 0.14; GCA_015060045.1, s__Alistipes sp015060045, 95.0, 77.26, 0.173; GCA_019113665.1, s__Alistipes excrementipullorum, 95.0, 77.2, 0.151; GCA_900550925.1, s__Alistipes sp900550925, 95.0, 77.17, 0.101; GCA_017436185.1, s__Alistipes sp017436185, 95.0, 77.14, 0.156; GCA_017937125.1, s__Alistipes sp017937125, 95.0, 77.12, 0.14; GCA_015059735.1, s__Alistipes sp015059735, 95.0, 77.04, 0.106; GCA_017379895.1, s__Alistipes sp017379895, 95.0, 76.9, 0.05; GCA_900546065.1, s__Alistipes merdipullorum, 95.0, 76.9, 0.173; GCA_017425655.1, s__Alistipes sp017425655, 95.0, 76.88, 0.034; GCA_900761235.1, s__Alistipes sp900761235, 95.0, 76.83, 0.128; GCA_017934845.1, s__Alistipes sp017934845, 95.0, 76.8, 0.014; GCA_900770585.1, s__Alistipes sp900770585, 95.0, 76.76, 0.05; GCA_017398045.1, s__Alistipes sp017398045, 95.0, 76.69, 0.196; GCA_015060005.1, s__Alistipes sp015060005, 95.0, 76.67, 0.022; GCA_017936685.1, s__Alistipes sp017936685, 95.0, 76.64, 0.196; GCA_017442365.1, s__Alistipes sp017442365, 95.0, 76.64, 0.073; GCA_017380275.1, s__Alistipes sp017380275, 95.0, 76.54, 0.056; GCA_017416915.1, s__Alistipes sp017416915, 95.0, 76.47, 0.056; GCA_905213895.1, s__Alistipes sp900548155, 95.0, 76.42, 0.173; GCA_900769405.1, s__Alistipes sp900769405, 95.0, 76.37, 0.067; GCA_017463585.1, s__Alistipes sp017463585, 95.0, 76.33, 0.056; GCA_015059925.1, s__Alistipes sp015059925, 95.0, 76.31, 0.112; GCA_017630245.1, s__Alistipes sp017630245, 95.0, 76.29, 0.056; GCA_017536555.1, s__Alistipes sp017536555, 95.0, 76.27, 0.011; GCA_015059845.1, s__Alistipes sp015059845, 95.0, 76.22, 0.017; GCA_017555695.1, s__Alistipes sp017555695, 95.0, 76.07, 0.056; GCA_015060065.1, s__Alistipes sp015060065, 95.0, 75.92, 0.05; GCA_002293345.1, s__Alistipes sp002293345, 95.0, 75.87, 0.05; GCA_015060015.1, s__Alistipes sp015060015, 95.0, 75.87, 0.05; GCA_017399485.1, s__Alistipes sp017399485, 95.0, 75.78, 0.028; GCA_017398695.1, s__Alistipes sp017398695, 95.0, 75.76, 0.067; GCA_017935185.1, s__Alistipes sp017935185, 95.0, 75.73, 0.011; GCA_017465605.1, s__Alistipes sp017465605, 95.0, 75.7, 0.028; GCA_015060165.1, s__Alistipes sp015060165, 95.0, 75.69, 0.011; GCA_017532885.1, s__Alistipes sp017532885, 95.0, 75.61, 0.017; GCA_017383445.1, s__Alistipes sp017383445, 95.0, 75.36, 0.039; GCA_015059905.1, s__Alistipes sp015059905, 95.0, 75.17, 0.056; GCA_017546725.1, s__Alistipes sp017546725, 95.0, 75.13, 0.028; GCA_017628595.1, s__Alistipes sp017628595, 95.0, 75.05, 0.034; GCA_017560305.1, s__Alistipes sp017560305, 95.0, 74.98, 0.056; GCA_900769745.1, s__Alistipes sp900769745, 95.0, 74.93, 0.028; GCA_017391185.1, s__Alistipes sp017391185, 95.0, 74.81, 0.006; GCA_017623505.1, s__Alistipes sp017623505, 95.0, 74.66, 0.022; GCA_017384185.1, s__Alistipes sp017384185, 95.0, 74.53, 0.022; GCA_017531305.1, s__Alistipes sp017531305, 95.0, 74.52, 0.011	38.96	11	0.99776	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AW110A-megahit_bin.17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	GCF_900475675.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	98.79	0.953	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.18	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	GCA_003514385.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	95.99	0.862	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	GCA_000437675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp000437675	97.16	0.867	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	GCF_001544255.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	99.09	0.975	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.20	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium sp900540665	GCA_900540665.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium sp900540665	95.6	0.923	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
AW110A-megahit_bin.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__	N/A	N/A	N/A	N/A	N/A	GCA_900543815.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp900543815	93.6	0.94	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_002316015.1, s__UBA4372 sp002316015, 95.0, 81.0, 0.693; GCA_900766785.1, s__UBA4372 sp900766785, 95.0, 78.94, 0.449; GCA_016292545.1, s__UBA4372 sp016292545, 95.0, 77.36, 0.211; GCA_017524545.1, s__UBA4372 sp017524545, 95.0, 77.36, 0.184; GCA_017466325.1, s__UBA4372 sp017466325, 95.0, 77.36, 0.162; GCA_002317475.1, s__UBA4372 sp002317475, 95.0, 77.3, 0.068; GCA_017622815.1, s__UBA4372 sp017622815, 95.0, 77.27, 0.153; GCA_002394305.1, s__UBA4372 sp002394305, 95.0, 77.24, 0.199; GCA_902784475.1, s__UBA4372 sp902784475, 95.0, 77.23, 0.126; GCA_902799985.1, s__UBA4372 sp902799985, 95.0, 77.21, 0.211; GCA_902781515.1, s__UBA4372 sp902781515, 95.0, 77.17, 0.06; GCA_017503065.1, s__UBA4372 sp017503065, 95.0, 77.17, 0.146; GCA_017464345.1, s__UBA4372 sp017464345, 95.0, 77.15, 0.097; GCA_017483665.1, s__UBA4372 sp017483665, 95.0, 77.14, 0.201; GCA_900770805.1, s__UBA4372 sp900770805, 95.0, 77.08, 0.101; GCA_902788315.1, s__UBA4372 sp902788315, 95.0, 77.07, 0.228; GCA_902763865.1, s__UBA4372 sp902763865, 95.0, 77.03, 0.177; GCA_017461345.1, s__UBA4372 sp017461345, 95.0, 77.02, 0.099; GCA_016292045.1, s__UBA4372 sp016292045, 95.0, 77.01, 0.09; GCA_017547165.1, s__UBA4372 sp017547165, 95.0, 77.01, 0.056; GCA_017645305.1, s__UBA4372 sp017645305, 95.0, 77.01, 0.091; GCA_017631315.1, s__UBA4372 sp017631315, 95.0, 77.0, 0.105; GCA_905234735.1, s__UBA4372 sp905234735, 95.0, 77.0, 0.119; GCA_902801485.1, s__UBA4372 sp902801485, 95.0, 76.99, 0.08; GCA_017381015.1, s__UBA4372 sp017381015, 95.0, 76.99, 0.065; GCA_900320565.1, s__UBA4372 sp900320565, 95.0, 76.99, 0.12; GCA_902770725.1, s__UBA4372 sp902770725, 95.0, 76.97, 0.121; GCA_902802815.1, s__UBA4372 sp902802815, 95.0, 76.96, 0.088; GCA_004559785.1, s__UBA4372 sp004559785, 95.0, 76.96, 0.165; GCA_902801325.1, s__UBA4372 sp902801325, 95.0, 76.95, 0.091; GCA_018064685.1, s__UBA4372 sp018064685, 95.0, 76.94, 0.136; GCA_902791295.1, s__UBA4372 sp902791295, 95.0, 76.93, 0.108; GCA_905235575.1, s__UBA4372 sp905235575, 95.0, 76.93, 0.179; GCA_017559845.1, s__UBA4372 sp017559845, 95.0, 76.92, 0.131; GCA_017935785.1, s__UBA4372 sp017935785, 95.0, 76.91, 0.127; GCA_017619585.1, s__UBA4372 sp017619585, 95.0, 76.91, 0.12; GCA_017958545.1, s__UBA4372 sp017958545, 95.0, 76.89, 0.117; GCA_902775385.1, s__UBA4372 sp902775385, 95.0, 76.89, 0.156; GCA_017445925.1, s__UBA4372 sp017445925, 95.0, 76.88, 0.059; GCA_017379075.1, s__UBA4372 sp017379075, 95.0, 76.88, 0.148; GCA_017444005.1, s__UBA4372 sp017444005, 95.0, 76.84, 0.129; GCA_017469925.1, s__UBA4372 sp017469925, 95.0, 76.84, 0.133; GCA_018065005.1, s__UBA4372 sp018065005, 95.0, 76.84, 0.094; GCA_002395775.1, s__UBA4372 sp002395775, 95.0, 76.83, 0.15; GCA_017469525.1, s__UBA4372 sp017469525, 95.0, 76.82, 0.167; GCA_900320435.1, s__UBA4372 sp900320435, 95.0, 76.8, 0.125; GCA_900313705.1, s__UBA4372 sp900313705, 95.0, 76.78, 0.177; GCA_017619335.1, s__UBA4372 sp017619335, 95.0, 76.76, 0.069; GCA_017650085.1, s__UBA4372 sp017650085, 95.0, 76.75, 0.093; GCA_017541265.1, s__UBA4372 sp017541265, 95.0, 76.73, 0.165; GCA_017628845.1, s__UBA4372 sp017628845, 95.0, 76.71, 0.103; GCA_902787575.1, s__UBA4372 sp900320715, 95.0, 76.71, 0.151; GCA_017428785.1, s__UBA4372 sp017428785, 95.0, 76.7, 0.154; GCA_902776455.1, s__UBA4372 sp902776455, 95.0, 76.7, 0.204; GCA_002297545.1, s__UBA4372 sp002297545, 95.0, 76.67, 0.124; GCA_017620295.1, s__UBA4372 sp017620295, 95.0, 76.67, 0.069; GCA_900313335.1, s__UBA4372 sp900313335, 95.0, 76.67, 0.073; GCA_017548165.1, s__UBA4372 sp017548165, 95.0, 76.66, 0.073; GCA_902783655.1, s__UBA4372 sp902783655, 95.0, 76.65, 0.097; GCA_902803195.1, s__UBA4372 sp902803195, 95.0, 76.65, 0.052; GCA_017552435.1, s__UBA4372 sp017552435, 95.0, 76.63, 0.133; GCA_902791675.1, s__UBA4372 sp902791675, 95.0, 76.62, 0.088; GCA_017965425.1, s__UBA4372 sp017965425, 95.0, 76.61, 0.054; GCA_902771725.1, s__UBA4372 sp902771725, 95.0, 76.61, 0.088; GCA_017617335.1, s__UBA4372 sp017617335, 95.0, 76.61, 0.073; GCA_017427185.1, s__UBA4372 sp017427185, 95.0, 76.58, 0.102; GCA_017453445.1, s__UBA4372 sp017453445, 95.0, 76.58, 0.131; GCA_002314945.1, s__UBA4372 sp002314945, 95.0, 76.57, 0.073; GCA_905235305.1, s__UBA4372 sp905235305, 95.0, 76.56, 0.14; GCA_017455585.1, s__UBA4372 sp017455585, 95.0, 76.56, 0.1; GCA_900318115.1, s__UBA4372 sp900318115, 95.0, 76.54, 0.085; GCA_017645655.1, s__UBA4372 sp017645655, 95.0, 76.54, 0.131; GCA_902778625.1, s__UBA4372 sp902778625, 95.0, 76.5, 0.133; GCA_017447625.1, s__UBA4372 sp017447625, 95.0, 76.49, 0.06; GCA_017557475.1, s__UBA4372 sp017557475, 95.0, 76.48, 0.097; GCA_002494215.1, s__UBA4372 sp002494215, 95.0, 76.48, 0.086; GCA_902779845.1, s__UBA4372 sp902779845, 95.0, 76.47, 0.09; GCA_017962495.1, s__UBA4372 sp017962495, 95.0, 76.46, 0.068; GCA_017961145.1, s__UBA4372 sp017961145, 95.0, 76.44, 0.083; GCA_002450165.1, s__UBA4372 sp002450165, 95.0, 76.42, 0.061; GCA_017960985.1, s__UBA4372 sp017960985, 95.0, 76.42, 0.077; GCA_017526905.1, s__UBA4372 sp017526905, 95.0, 76.41, 0.116; GCA_900316355.1, s__UBA4372 sp900316355, 95.0, 76.4, 0.113; GCA_902768605.1, s__UBA4372 sp902768605, 95.0, 76.34, 0.156; GCA_902779165.1, s__UBA4372 sp902779165, 95.0, 76.32, 0.073; GCA_017617635.1, s__UBA4372 sp017617635, 95.0, 76.32, 0.071; GCA_017429525.1, s__UBA4372 sp017429525, 95.0, 76.3, 0.088; GCA_017558255.1, s__UBA4372 sp017558255, 95.0, 76.29, 0.086; GCA_017541025.1, s__UBA4372 sp017541025, 95.0, 76.28, 0.071; GCA_017525235.1, s__UBA4372 sp017525235, 95.0, 76.27, 0.06; GCA_017645845.1, s__UBA4372 sp017645845, 95.0, 76.25, 0.093; GCA_902783885.1, s__UBA4372 sp902783885, 95.0, 76.25, 0.055; GCA_017617235.1, s__UBA4372 sp017617235, 95.0, 76.24, 0.114; GCA_902779315.1, s__UBA4372 sp902779315, 95.0, 76.21, 0.102; GCA_002373535.1, s__UBA4372 sp002373535, 95.0, 76.13, 0.046; GCA_017470425.1, s__UBA4372 sp017470425, 95.0, 76.09, 0.086; GCA_017548075.1, s__UBA4372 sp017548075, 95.0, 75.96, 0.079; GCA_016280855.1, s__UBA4372 sp016280855, 95.0, 75.87, 0.076; GCA_905236985.1, s__UBA4372 sp905236985, 95.0, 75.68, 0.063	71.19	11	0.99731	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
