sample	reference	predicted_accuracy	null_model_p0	null_model_p0_stdev	damage_model_p	damage_model_p_stdev	damage_model_pmin	damage_model_pmin_stdev	damage_model_pmax	damage_model_pmax_stdev	pvalue	qvalue	RMSE	nb_reads_aligned	coverage	reflen	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4	CtoT-5	CtoT-6	CtoT-7	CtoT-8	CtoT-9	CtoT-10	CtoT-11	CtoT-12	CtoT-13	CtoT-14	CtoT-15	CtoT-16	CtoT-17	CtoT-18	CtoT-19
AW107	NODE_1163_length_14594_cov_111.7	0.831	0.002	0.000	0.115	0.134	0.001	0.001	0.003	0.001	0.001	0.003	0.001	14063	99.617	14594	0.004	0.002	0.003	0.002	0.003	0.000	0.001	0.001	0.002	0.003	0.001	0.002	0.003	0.002	0.000	0.001	0.001	0.001	0.001	0.001
AW107	NODE_17086_length_3421_cov_67.2	0.543	0.001	0.000	0.612	0.150	0.000	0.000	0.008	0.001	0.004	0.010	0.001	2234	60.901	3421	0.007	0.005	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000
AW107	NODE_1575_length_12795_cov_136.1	0.906	0.005	0.000	0.347	0.161	0.004	0.000	0.009	0.001	0.004	0.011	0.001	15635	122.977	12795	0.009	0.008	0.004	0.006	0.007	0.005	0.003	0.004	0.003	0.005	0.004	0.006	0.004	0.004	0.006	0.004	0.003	0.003	0.005	0.006
AW107	NODE_20637_length_3090_cov_14.7	0.286	0.009	0.003	0.117	0.264	0.002	0.013	0.019	0.010	0.007	0.016	0.013	396	13.070	3090	0.000	0.043	0.016	0.030	0.000	0.000	0.000	0.016	0.000	0.017	0.000	0.000	0.000	0.038	0.000	0.014	0.000	0.000	0.000	0.000
AW107	NODE_4088_length_7644_cov_100.4	0.745	0.002	0.000	0.265	0.133	0.001	0.000	0.004	0.001	0.009	0.020	0.001	6659	90.578	7644	0.004	0.004	0.002	0.002	0.003	0.002	0.001	0.000	0.000	0.001	0.000	0.001	0.004	0.001	0.001	0.000	0.002	0.002	0.000	0.000
AW107	NODE_622_length_19421_cov_73.0	0.709	0.002	0.000	0.786	0.266	0.001	0.000	0.005	0.001	0.009	0.020	0.001	12543	64.837	19421	0.005	0.002	0.001	0.003	0.002	0.001	0.002	0.001	0.000	0.001	0.002	0.004	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001
AW107	NODE_4303_length_7412_cov_55.7	0.542	0.005	0.001	0.447	0.236	0.004	0.001	0.014	0.004	0.009	0.021	0.004	3793	50.063	7412	0.013	0.012	0.003	0.012	0.000	0.003	0.007	0.000	0.002	0.005	0.002	0.002	0.002	0.000	0.010	0.007	0.010	0.002	0.002	0.000
AW107	NODE_8316_length_5136_cov_36.4	0.358	0.002	0.001	0.073	0.319	0.000	0.007	0.005	0.003	0.010	0.021	0.004	1642	32.595	5136	0.000	0.011	0.000	0.005	0.011	0.000	0.000	0.000	0.000	0.006	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_1176_length_14470_cov_31.5	0.426	0.002	0.000	0.248	0.107	0.001	0.000	0.006	0.001	0.010	0.021	0.001	3779	27.966	14470	0.006	0.006	0.003	0.003	0.005	0.003	0.002	0.000	0.000	0.002	0.001	0.003	0.003	0.002	0.003	0.002	0.000	0.002	0.000	0.002
AW107	NODE_2745_length_9560_cov_50.3	0.559	0.009	0.001	0.499	0.198	0.008	0.001	0.020	0.003	0.012	0.026	0.003	3988	44.825	9560	0.021	0.012	0.013	0.008	0.012	0.010	0.007	0.010	0.009	0.012	0.003	0.005	0.016	0.007	0.006	0.007	0.013	0.005	0.008	0.005
AW107	NODE_11609_length_4250_cov_46.2	0.553	0.007	0.002	0.990	0.188	0.006	0.001	0.034	0.005	0.001	0.003	0.005	1866	41.524	4250	0.034	0.005	0.014	0.000	0.016	0.005	0.005	0.000	0.005	0.009	0.009	0.005	0.015	0.004	0.005	0.000	0.004	0.000	0.005	0.004
AW107	NODE_305_length_26559_cov_109.4	0.892	0.002	0.000	0.934	0.202	0.001	0.000	0.006	0.001	0.000	0.000	0.001	25233	98.016	26559	0.006	0.002	0.002	0.002	0.004	0.001	0.001	0.002	0.001	0.002	0.001	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.000
AW107	NODE_2165_length_10784_cov_129.5	0.883	0.003	0.001	0.300	0.110	0.002	0.001	0.009	0.001	0.000	0.000	0.001	12063	116.821	10784	0.008	0.008	0.003	0.008	0.005	0.001	0.002	0.002	0.002	0.002	0.002	0.003	0.002	0.002	0.004	0.004	0.002	0.001	0.002	0.003
AW107	NODE_189_length_31464_cov_33.5	0.630	0.002	0.000	0.593	0.097	0.001	0.000	0.009	0.001	0.000	0.000	0.001	9267	30.110	31464	0.009	0.004	0.002	0.002	0.000	0.000	0.002	0.001	0.000	0.001	0.000	0.001	0.002	0.000	0.003	0.000	0.002	0.001	0.001	0.000
AW107	NODE_15_length_80067_cov_108.1	0.986	0.001	0.000	0.310	0.089	0.001	0.000	0.004	0.001	0.000	0.000	0.001	74649	96.741	80067	0.005	0.003	0.001	0.003	0.002	0.002	0.001	0.000	0.000	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000
AW107	NODE_93_length_41852_cov_112.8	0.946	0.002	0.000	0.410	0.081	0.001	0.000	0.007	0.001	0.000	0.000	0.001	43841	101.258	41852	0.007	0.005	0.001	0.004	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.000
AW107	NODE_186_length_31530_cov_152.0	0.966	0.002	0.000	0.233	0.059	0.001	0.000	0.006	0.001	0.000	0.000	0.001	42008	136.385	31530	0.006	0.004	0.004	0.004	0.003	0.001	0.001	0.002	0.000	0.002	0.002	0.002	0.002	0.001	0.002	0.002	0.001	0.000	0.001	0.000
AW107	NODE_1_length_144459_cov_120.3	0.999	0.002	0.000	0.203	0.061	0.001	0.000	0.005	0.001	0.000	0.000	0.001	146615	106.968	144459	0.005	0.004	0.002	0.005	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
AW107	NODE_78_length_44923_cov_144.1	0.974	0.002	0.000	0.204	0.106	0.001	0.000	0.005	0.001	0.000	0.000	0.001	52602	126.439	44923	0.006	0.003	0.003	0.005	0.003	0.001	0.001	0.003	0.001	0.002	0.001	0.004	0.001	0.003	0.001	0.001	0.001	0.001	0.001	0.000
AW107	NODE_211_length_30265_cov_114.8	0.919	0.002	0.000	0.446	0.085	0.001	0.000	0.007	0.001	0.000	0.000	0.001	31731	103.227	30265	0.007	0.003	0.003	0.004	0.002	0.001	0.001	0.002	0.001	0.002	0.001	0.002	0.002	0.001	0.001	0.001	0.001	0.000	0.001	0.000
AW107	NODE_308_length_26358_cov_149.6	0.956	0.003	0.000	0.234	0.065	0.002	0.000	0.007	0.001	0.000	0.000	0.001	34590	133.620	26358	0.006	0.007	0.004	0.004	0.003	0.004	0.002	0.001	0.003	0.002	0.001	0.003	0.002	0.003	0.003	0.002	0.001	0.001	0.001	0.002
AW107	NODE_182_length_31710_cov_93.7	0.869	0.002	0.000	0.157	0.078	0.001	0.001	0.004	0.001	0.000	0.000	0.001	25213	83.469	31710	0.004	0.005	0.001	0.005	0.004	0.001	0.002	0.001	0.001	0.002	0.001	0.002	0.002	0.001	0.001	0.001	0.000	0.001	0.000	0.000
AW107	NODE_273_length_27611_cov_102.4	0.873	0.002	0.000	0.182	0.060	0.001	0.000	0.004	0.001	0.000	0.000	0.001	24186	91.286	27611	0.004	0.004	0.003	0.004	0.003	0.003	0.001	0.001	0.001	0.002	0.001	0.002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
AW107	NODE_132_length_36902_cov_113.9	0.933	0.002	0.000	0.230	0.049	0.001	0.000	0.005	0.000	0.000	0.000	0.000	36422	102.178	36902	0.004	0.004	0.004	0.003	0.002	0.002	0.001	0.002	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001	0.002	0.001
AW107	NODE_1201_length_14336_cov_68.2	0.644	0.002	0.000	0.132	0.087	0.000	0.001	0.005	0.001	0.000	0.000	0.001	9043	61.760	14336	0.004	0.005	0.004	0.008	0.001	0.002	0.003	0.001	0.000	0.002	0.000	0.001	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.001
AW107	NODE_79_length_44807_cov_28.5	0.707	0.002	0.000	0.113	0.108	0.000	0.002	0.005	0.001	0.000	0.000	0.002	10598	25.391	44807	0.004	0.005	0.003	0.008	0.003	0.001	0.001	0.001	0.001	0.002	0.000	0.004	0.002	0.001	0.001	0.003	0.000	0.000	0.000	0.000
AW107	NODE_1028_length_15424_cov_187.6	0.972	0.003	0.000	0.214	0.080	0.002	0.000	0.007	0.001	0.000	0.000	0.001	25026	167.665	15424	0.007	0.005	0.004	0.006	0.004	0.004	0.003	0.002	0.002	0.001	0.002	0.004	0.002	0.002	0.004	0.001	0.003	0.002	0.001	0.003
AW107	NODE_215_length_30038_cov_97.4	0.880	0.004	0.000	0.266	0.063	0.003	0.000	0.008	0.001	0.000	0.000	0.001	24755	86.870	30038	0.008	0.006	0.007	0.006	0.004	0.003	0.003	0.002	0.002	0.002	0.004	0.003	0.003	0.004	0.002	0.002	0.002	0.002	0.003	0.002
AW107	NODE_375_length_23996_cov_137.8	0.936	0.002	0.000	0.234	0.088	0.001	0.000	0.005	0.001	0.000	0.000	0.001	29686	124.125	23996	0.004	0.006	0.005	0.004	0.003	0.001	0.001	0.001	0.002	0.002	0.002	0.003	0.001	0.003	0.001	0.002	0.002	0.001	0.002	0.001
AW107	NODE_1306_length_13808_cov_110.4	0.829	0.002	0.000	0.105	0.089	0.000	0.001	0.005	0.001	0.000	0.000	0.001	12992	98.956	13808	0.004	0.003	0.004	0.007	0.004	0.002	0.001	0.002	0.000	0.002	0.001	0.003	0.001	0.001	0.002	0.001	0.001	0.001	0.000	0.001
AW107	NODE_222_length_29903_cov_73.5	0.789	0.002	0.000	0.128	0.074	0.000	0.001	0.004	0.001	0.000	0.000	0.001	18065	65.290	29903	0.004	0.003	0.002	0.004	0.003	0.002	0.002	0.001	0.001	0.001	0.001	0.002	0.002	0.001	0.002	0.001	0.000	0.000	0.000	0.001
AW107	NODE_413_length_22942_cov_77.4	0.768	0.002	0.000	0.688	0.204	0.001	0.000	0.007	0.001	0.000	0.000	0.001	15818	69.155	22942	0.007	0.003	0.000	0.003	0.003	0.001	0.001	0.002	0.001	0.002	0.000	0.005	0.001	0.000	0.000	0.002	0.001	0.001	0.000	0.000
AW107	NODE_1376_length_13522_cov_128.1	0.887	0.003	0.000	0.216	0.063	0.002	0.000	0.008	0.001	0.000	0.000	0.001	14957	114.876	13522	0.007	0.007	0.005	0.007	0.005	0.003	0.004	0.002	0.002	0.002	0.002	0.004	0.002	0.003	0.001	0.001	0.001	0.002	0.004	0.004
AW107	NODE_721_length_18079_cov_131.8	0.917	0.005	0.001	0.361	0.118	0.004	0.000	0.011	0.001	0.000	0.000	0.001	21132	118.283	18079	0.010	0.010	0.005	0.006	0.005	0.005	0.004	0.004	0.002	0.004	0.005	0.005	0.005	0.006	0.002	0.001	0.004	0.005	0.002	0.005
AW107	NODE_218_length_29982_cov_49.4	0.686	0.001	0.000	0.553	0.110	0.000	0.000	0.005	0.001	0.000	0.000	0.001	12736	44.500	29982	0.005	0.003	0.000	0.002	0.001	0.000	0.000	0.001	0.001	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.001	0.001	0.000	0.000
AW107	NODE_199_length_31010_cov_67.3	0.775	0.002	0.000	0.199	0.161	0.001	0.001	0.004	0.001	0.000	0.000	0.001	17397	60.497	31010	0.003	0.004	0.000	0.005	0.002	0.002	0.001	0.000	0.001	0.001	0.001	0.003	0.001	0.001	0.001	0.001	0.000	0.000	0.002	0.001
AW107	NODE_1671_length_12386_cov_122.8	0.862	0.002	0.000	0.103	0.088	0.000	0.001	0.004	0.001	0.000	0.000	0.001	14330	111.186	12386	0.003	0.004	0.003	0.005	0.003	0.001	0.002	0.001	0.002	0.003	0.000	0.003	0.001	0.001	0.001	0.000	0.000	0.000	0.001	0.001
AW107	NODE_7942_length_5266_cov_28.5	0.345	0.001	0.001	0.990	0.137	0.000	0.000	0.011	0.001	0.013	0.026	0.001	1441	25.849	5266	0.011	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_2094_length_10989_cov_37.2	0.412	0.002	0.000	0.040	0.277	0.000	0.005	0.003	0.001	0.013	0.026	0.002	3714	33.514	10989	0.000	0.002	0.007	0.004	0.000	0.000	0.002	0.002	0.005	0.005	0.000	0.000	0.000	0.002	0.000	0.000	0.002	0.002	0.000	0.000
AW107	NODE_12475_length_4083_cov_23.2	0.317	0.002	0.001	0.389	0.154	0.001	0.001	0.013	0.003	0.010	0.021	0.003	900	21.458	4083	0.012	0.012	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000
AW107	NODE_3475_length_8405_cov_116.2	0.834	0.005	0.001	0.376	0.267	0.004	0.001	0.010	0.003	0.017	0.032	0.002	9030	104.908	8405	0.009	0.008	0.008	0.006	0.005	0.000	0.005	0.005	0.004	0.001	0.003	0.005	0.004	0.012	0.003	0.005	0.007	0.001	0.002	0.004
AW107	NODE_3290_length_8657_cov_133.0	0.867	0.002	0.000	0.990	0.703	0.002	0.000	0.003	0.001	0.342	0.434	0.001	10339	119.266	8657	0.003	0.002	0.001	0.005	0.001	0.001	0.002	0.003	0.001	0.000	0.002	0.003	0.003	0.001	0.001	0.001	0.000	0.001	0.002	0.000
AW107	NODE_10484_length_4496_cov_12.4	0.256	0.002	0.001	0.332	0.150	0.000	0.001	0.011	0.003	0.016	0.032	0.003	500	11.329	4496	0.010	0.013	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_11357_length_4300_cov_42.6	0.426	0.006	0.001	0.990	0.765	0.006	0.001	0.013	0.005	0.492	0.602	0.005	1676	38.417	4300	0.013	0.005	0.000	0.008	0.021	0.008	0.009	0.000	0.008	0.004	0.000	0.008	0.000	0.008	0.004	0.008	0.004	0.000	0.009	0.004
AW107	NODE_12214_length_4127_cov_33.6	0.404	0.009	0.001	0.990	0.522	0.009	0.001	0.020	0.006	0.490	0.602	0.005	1196	30.184	4127	0.020	0.007	0.007	0.006	0.007	0.006	0.008	0.000	0.017	0.018	0.014	0.007	0.000	0.000	0.013	0.006	0.012	0.014	0.014	0.006
AW107	NODE_11026_length_4373_cov_24.1	0.297	0.002	0.001	0.990	0.562	0.002	0.001	0.007	0.003	0.502	0.607	0.003	958	22.119	4373	0.007	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.007	0.000	0.000	0.008	0.000	0.000	0.000	0.000
AW107	NODE_6741_length_5752_cov_11.7	0.262	0.004	0.001	0.990	0.838	0.004	0.001	0.011	0.006	0.671	0.802	0.006	566	10.627	5752	0.011	0.000	0.000	0.011	0.000	0.011	0.000	0.000	0.014	0.000	0.000	0.012	0.000	0.000	0.015	0.000	0.011	0.000	0.000	0.000
AW107	NODE_13708_length_3872_cov_14.3	0.265	0.006	0.002	0.990	1.341	0.005	0.002	0.013	0.010	0.747	0.883	0.009	472	12.589	3872	0.013	0.000	0.026	0.016	0.017	0.000	0.030	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_9656_length_4708_cov_31.8	0.326	0.003	0.001	0.990	1.254	0.002	0.001	0.005	0.004	0.795	0.919	0.003	1241	28.158	4708	0.005	0.000	0.010	0.000	0.005	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.006	0.000	0.006	0.000	0.000	0.005
AW107	NODE_7292_length_5511_cov_69.1	0.606	0.012	0.001	0.083	0.410	0.011	0.006	0.014	0.003	0.787	0.919	0.004	3282	62.697	5511	0.011	0.016	0.011	0.019	0.009	0.015	0.020	0.018	0.005	0.009	0.008	0.011	0.016	0.008	0.011	0.012	0.011	0.011	0.017	0.009
AW107	NODE_15496_length_3610_cov_28.9	0.286	0.002	0.001	0.686	2.239	0.002	0.001	0.002	0.004	0.994	1.000	0.004	819	25.139	3610	0.000	0.000	0.000	0.009	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_17382_length_3389_cov_16.8	0.243	0.003	0.002	0.192	0.537	0.005	0.004	0.005	0.006	1.000	1.000	0.007	560	15.015	3389	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.019	0.015	0.000	0.000	0.000	0.000
AW107	NODE_12809_length_4022_cov_22.7	0.272	0.004	0.001	0.990	1.538	0.004	0.001	0.004	0.006	1.000	1.000	0.006	792	20.482	4022	0.000	0.010	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.016	0.000	0.009	0.000	0.000	0.000	0.009	0.000	0.000	0.015
AW107	NODE_7780_length_5323_cov_17.9	0.258	0.004	0.001	0.824	1.518	0.004	0.002	0.004	0.007	1.000	1.000	0.006	814	15.773	5323	0.000	0.000	0.010	0.021	0.010	0.000	0.000	0.008	0.000	0.000	0.018	0.000	0.000	0.008	0.000	0.008	0.000	0.000	0.000	0.000
AW107	NODE_7021_length_5622_cov_18.2	0.262	0.002	0.001	0.886	1.875	0.003	0.001	0.003	0.005	1.000	1.000	0.005	928	16.790	5622	0.000	0.000	0.011	0.012	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.006	0.000
AW107	NODE_18490_length_3282_cov_13.5	0.236	0.003	0.001	0.000	0.615	0.007	0.029	0.007	0.004	1.000	1.000	0.007	393	12.368	3282	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.017	0.000
AW107	NODE_15316_length_3634_cov_11.3	0.208	0.001	0.001	0.298	1.731	0.001	0.001	0.001	0.004	1.000	1.000	0.004	334	10.350	3634	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_13062_length_3982_cov_23.4	0.266	0.001	0.001	0.232	0.966	0.002	0.002	0.002	0.004	1.000	1.000	0.004	822	20.901	3982	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_11315_length_4312_cov_22.5	0.262	0.001	0.001	0.363	1.471	0.001	0.001	0.001	0.003	1.000	1.000	0.003	928	20.385	4312	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_12007_length_4171_cov_16.9	0.242	0.002	0.001	0.776	2.481	0.003	0.002	0.003	0.007	1.000	1.000	0.006	568	15.026	4171	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_9535_length_4742_cov_31.2	0.315	0.002	0.001	0.274	0.737	0.002	0.001	0.002	0.003	1.000	1.000	0.004	1355	28.389	4742	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.009	0.009	0.000	0.008	0.000	0.000	0.000	0.000	0.000
AW107	NODE_6765_length_5742_cov_11.6	0.252	0.002	0.001	0.000	0.297	0.009	0.022	0.009	0.003	1.000	1.000	0.008	514	10.248	5742	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.011
AW107	NODE_14197_length_3796_cov_21.9	0.268	0.003	0.002	0.727	2.072	0.004	0.002	0.004	0.008	1.000	1.000	0.008	822	19.921	3796	0.000	0.000	0.000	0.025	0.000	0.011	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000
AW107	NODE_21175_length_3047_cov_11.5	0.214	0.004	0.002	0.756	2.346	0.004	0.002	0.004	0.010	0.964	1.000	0.009	315	10.328	3047	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AW107	NODE_15564_length_3601_cov_26.6	0.307	0.007	0.002	0.000	0.813	0.004	0.031	0.009	0.004	0.286	0.368	0.007	881	23.490	3601	0.000	0.016	0.008	0.008	0.000	0.016	0.008	0.022	0.007	0.000	0.000	0.000	0.008	0.007	0.015	0.016	0.000	0.008	0.000	0.007
AW107	NODE_6839_length_5707_cov_19.3	0.303	0.002	0.001	0.990	0.363	0.001	0.001	0.012	0.004	0.272	0.353	0.004	1023	17.349	5707	0.012	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000
AW107	NODE_7110_length_5584_cov_26.5	0.331	0.003	0.001	0.990	0.676	0.003	0.001	0.010	0.005	0.353	0.442	0.004	1241	23.782	5584	0.010	0.000	0.016	0.000	0.005	0.005	0.011	0.000	0.000	0.000	0.005	0.006	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000
AW107	NODE_11354_length_4301_cov_58.1	0.520	0.005	0.001	0.990	0.368	0.005	0.001	0.013	0.003	0.244	0.324	0.003	2306	52.345	4301	0.013	0.004	0.007	0.010	0.004	0.007	0.004	0.004	0.007	0.003	0.000	0.011	0.004	0.003	0.004	0.003	0.003	0.004	0.007	0.000
AW107	NODE_1043_length_15344_cov_42.9	0.506	0.002	0.001	0.990	0.446	0.002	0.001	0.007	0.002	0.021	0.040	0.002	5378	37.848	15344	0.007	0.000	0.002	0.009	0.001	0.002	0.000	0.001	0.001	0.005	0.001	0.004	0.000	0.000	0.000	0.002	0.000	0.000	0.001	0.000
AW107	NODE_16387_length_3500_cov_27.9	0.309	0.001	0.000	0.489	0.091	0.000	0.000	0.008	0.001	0.022	0.040	0.001	833	24.779	3500	0.007	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
