Sample_ID	Prediction_tool	Contig_ID	Product_class	BGC_probability	BGC_complete	BGC_start	BGC_end	BGC_length	CDS_ID	CDS_count	PFAM_domains	MIBiG_ID	InterPro_ID
AW107	antiSMASH	NODE_1180_length_14450_cov_53.9	Lanthipeptide-class-ii	NA	No	1	14450	14451	NA;IAIMAI_124905;IAIMAI_124910;IAIMAI_124915;IAIMAI_124920;allorf_04776_04913;IAIMAI_124925;IAIMAI_124930;IAIMAI_124935;IAIMAI_124940;IAIMAI_124945;IAIMAI_124950;IAIMAI_124955;IAIMAI_124960;IAIMAI_124965;allorf_14024_14215	15	DegT_DnrJ_EryC1;RmlD_sub_bind;Polysacc_synt_2;Glycos_transf_2;DUF4135;LANC_like	NA	NA
AW107	antiSMASH	NODE_12007_length_4171_cov_16.9	Arylpolyene	NA	No	1	4171	4172	NA;IAIMAI_445015;IAIMAI_445020;IAIMAI_445025;IAIMAI_445030	4	PP-binding;APE_KS2;Glycos_transf_2	NA	NA
AW107	antiSMASH	NODE_1201_length_14336_cov_68.2	Ranthipeptide	NA	No	1	14336	14337	NA;IAIMAI_126215;IAIMAI_126220;IAIMAI_126225;IAIMAI_126230;IAIMAI_126235;IAIMAI_126240;IAIMAI_126245;IAIMAI_126250;IAIMAI_126255;IAIMAI_126260;IAIMAI_126265;IAIMAI_126270;IAIMAI_126275	13	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;TIGR03973;SCIFF	NA	NA
AW107	antiSMASH	NODE_12214_length_4127_cov_33.6	RRE-containing	NA	No	1	4127	4128	NA;IAIMAI_449230;IAIMAI_449235;IAIMAI_449240;IAIMAI_449245	4	PF05402;Stand_Alone_Lasso_RRE;Bac_transf	NA	NA
AW107	antiSMASH	NODE_12475_length_4083_cov_23.2	Ranthipeptide	NA	No	1	4083	4084	NA;IAIMAI_454275;IAIMAI_454280;IAIMAI_454285	3	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;SPASM	NA	NA
AW107	antiSMASH	NODE_12660_length_4050_cov_37.5	RRE-containing	NA	No	1	4050	4051	NA;IAIMAI_457790;IAIMAI_457795;IAIMAI_457800;IAIMAI_457805;IAIMAI_457810;IAIMAI_457815	6	PF05402;Stand_Alone_Lasso_RRE;PF04055	NA	NA
AW107	antiSMASH	NODE_12809_length_4022_cov_22.7	RRE-containing	NA	No	1	4022	4023	NA;IAIMAI_460455;IAIMAI_460460;IAIMAI_460465;IAIMAI_460470;IAIMAI_460475	5	Stand_Alone_Lasso_RRE;PF05402	NA	NA
AW107	antiSMASH	NODE_13062_length_3982_cov_23.4	NRPS-like	NA	No	1	3982	3983	NA;IAIMAI_465130;IAIMAI_465135	2	AMP-binding;PP-binding;NAD_binding_4	NA	NA
AW107	antiSMASH	NODE_1306_length_13808_cov_110.4	RRE-containing	NA	No	1	13808	13809	NA;IAIMAI_132475;IAIMAI_132480;IAIMAI_132485;IAIMAI_132490;IAIMAI_132495;IAIMAI_132500;IAIMAI_132505;IAIMAI_132510;IAIMAI_132515;IAIMAI_132520;IAIMAI_132525;IAIMAI_132530;IAIMAI_132535;IAIMAI_132540;IAIMAI_132545	15	PF04055;Peptidase_S9;PF05402;Stand_Alone_Lasso_RRE	NA	NA
AW107	antiSMASH	NODE_132_length_36902_cov_113.9	RRE-containing	NA	Yes	5193	25471	20280	NA;IAIMAI_32140;IAIMAI_32145;IAIMAI_32150;IAIMAI_32155;IAIMAI_32160;IAIMAI_32165;IAIMAI_32170;IAIMAI_32175;IAIMAI_32180;IAIMAI_32185;IAIMAI_32190;IAIMAI_32195;IAIMAI_32200;IAIMAI_32205;IAIMAI_32210;IAIMAI_32215;IAIMAI_32220	17	PF05402;Stand_Alone_Lasso_RRE	NA	NA
AW107	antiSMASH	NODE_13323_length_3935_cov_15.8	NRPS-like	NA	No	1	3935	3936	NA;IAIMAI_470010;IAIMAI_470015	2	AMP-binding;PP-binding;NAD_binding_4;RmlD_sub_bind;AMP-binding	NA	NA
AW107	antiSMASH	NODE_13708_length_3872_cov_14.3	Arylpolyene	NA	No	1	3872	3873	NA;IAIMAI_476900;IAIMAI_476905;IAIMAI_476910;IAIMAI_476915;IAIMAI_476920	5	APE_KS1	NA	NA
AW107	antiSMASH	NODE_1376_length_13522_cov_128.1	Phosphonate	NA	No	1	13522	13523	NA;IAIMAI_136670;IAIMAI_136675;IAIMAI_136680;IAIMAI_136685;IAIMAI_136690;IAIMAI_136695;IAIMAI_136700;IAIMAI_136705;IAIMAI_136710;IAIMAI_136715;IAIMAI_136720	11	2-Hacid_dh_C;CTP_transf_like;phosphonates;PEP_mutase;TPP_enzyme_N;TPP_enzyme_C;Aminotran_5;Polysacc_synt	NA	NA
AW107	antiSMASH	NODE_14132_length_3808_cov_19.7	NRPS	NA	No	1	3808	3809	NA;IAIMAI_484445	1	Condensation;AMP-binding;PP-binding;RmlD_sub_bind;NAD_binding_4	NA	NA
AW107	antiSMASH	NODE_14197_length_3796_cov_21.9	Terpene	NA	No	1	3796	3797	NA;IAIMAI_485535;IAIMAI_485540;IAIMAI_485545	3	phytoene_synt;Glycos_transf_2	NA	NA
AW107	antiSMASH	NODE_1457_length_13196_cov_27.7	Arylpolyene	NA	No	1	13196	13197	NA;IAIMAI_141655;IAIMAI_141660;IAIMAI_141665;IAIMAI_141670;IAIMAI_141675;IAIMAI_141680;IAIMAI_141685;IAIMAI_141690;IAIMAI_141695;IAIMAI_141700	10	Aminotran_5;APE_KS1	NA	NA
AW107	antiSMASH	NODE_15316_length_3634_cov_11.3	NRPS	NA	No	1	3634	3635	NA;IAIMAI_504840;IAIMAI_504845	2	Condensation;AMP-binding;Condensation	NA	NA
AW107	antiSMASH	NODE_15424_length_3619_cov_24.9	RiPP-like	NA	No	1	3619	3620	NA;IAIMAI_506685;IAIMAI_506690;IAIMAI_506695	3	YcaO	NA	NA
AW107	antiSMASH	NODE_15496_length_3610_cov_28.9	Arylpolyene	NA	No	1	3610	3611	NA;IAIMAI_507830;IAIMAI_507835;IAIMAI_507840;IAIMAI_507845	4	APE_KS2	NA	NA
AW107	antiSMASH	NODE_15564_length_3601_cov_26.6	Arylpolyene	NA	No	1	3601	3602	NA;IAIMAI_508965;IAIMAI_508970;IAIMAI_508975;IAIMAI_508980	4	APE_KS2;PP-binding	NA	NA
AW107	antiSMASH	NODE_1575_length_12795_cov_136.1	RRE-containing	NA	No	1349	12795	11448	NA;IAIMAI_148415;IAIMAI_148420;IAIMAI_148425;IAIMAI_148430;IAIMAI_148435;IAIMAI_148440;IAIMAI_148445	7	Ranthipeptide_rSAM_RRE;Fer4_12;TIGR04085	NA	NA
AW107	antiSMASH	NODE_15860_length_3562_cov_38.4	RiPP-like	NA	No	1	3562	3563	NA;IAIMAI_513715;IAIMAI_513720	2	Peptidase_C39;TIGR01193	NA	NA
AW107	antiSMASH	NODE_15_length_80067_cov_108.1	RRE-containing	NA	No	67680	80067	12389	NA;IAIMAI_06495;IAIMAI_06500;IAIMAI_06505;IAIMAI_06510;IAIMAI_06515;IAIMAI_06520;IAIMAI_06525;IAIMAI_06530;IAIMAI_06535;IAIMAI_06540	10	PF05402;Stand_Alone_Lasso_RRE;PF04055;Fer4_12	NA	NA
AW107	antiSMASH	NODE_1613_length_12616_cov_29.2	RiPP-like	NA	No	1592	12616	11026	NA;IAIMAI_150420;IAIMAI_150425;IAIMAI_150430;IAIMAI_150435;IAIMAI_150440;IAIMAI_150445;IAIMAI_150450;IAIMAI_150455;IAIMAI_150460;IAIMAI_150465	10	YcaO	NA	NA
AW107	antiSMASH	NODE_16387_length_3500_cov_27.9	Arylpolyene	NA	No	1	3500	3501	NA;IAIMAI_522495;IAIMAI_522500;IAIMAI_522505;IAIMAI_522510	4	CBM_48;APE_KS2	NA	NA
AW107	antiSMASH	NODE_16422_length_3496_cov_72.1	Ranthipeptide	NA	No	1	3496	3497	NA;IAIMAI_523010;IAIMAI_523015;IAIMAI_523020;IAIMAI_523025	4	TIGR03973;SCIFF;Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;Aminotran_5;Aminotran_1_2	NA	NA
AW107	antiSMASH	NODE_1668_length_12412_cov_34.2	NRPS-like	NA	No	1	12412	12413	NA;IAIMAI_153285;IAIMAI_153290;IAIMAI_153295;IAIMAI_153300;IAIMAI_153305;IAIMAI_153310;IAIMAI_153315;IAIMAI_153320;IAIMAI_153325;IAIMAI_153330;IAIMAI_153335	11	PP-binding;AMP-binding	NA	NA
AW107	antiSMASH	NODE_1671_length_12386_cov_122.8	Thiopeptide	NA	No	1	12386	12387	NA;IAIMAI_153425;IAIMAI_153430;IAIMAI_153435;IAIMAI_153440;IAIMAI_153445;IAIMAI_153450;IAIMAI_153455;IAIMAI_153460;IAIMAI_153465;IAIMAI_153470	10	Peptidase_C39;YcaO;PF04055;Fer4_12;TIGR04085;DarB	NA	NA
AW107	antiSMASH	NODE_17086_length_3421_cov_67.2	RiPP-like	NA	No	1	3421	3422	NA;IAIMAI_533895;IAIMAI_533900;IAIMAI_533905;IAIMAI_533910;IAIMAI_533915	5	YcaO	NA	NA
AW107	antiSMASH	NODE_1721_length_12205_cov_39.0	NRPS-like	NA	No	1	12205	12206	NA;IAIMAI_156190;IAIMAI_156195;IAIMAI_156200;IAIMAI_156205;IAIMAI_156210;IAIMAI_156215;IAIMAI_156220;IAIMAI_156225;IAIMAI_156230;IAIMAI_156235;IAIMAI_156240	11	AMP-binding;PP-binding;Peptidase_S9	NA	NA
AW107	antiSMASH	NODE_17382_length_3389_cov_16.8	RRE-containing	NA	No	1	3389	3390	NA;IAIMAI_538660;IAIMAI_538665;IAIMAI_538670;IAIMAI_538675;IAIMAI_538680;IAIMAI_538685	6	PF05402;Stand_Alone_Lasso_RRE	NA	NA
AW107	antiSMASH	NODE_182_length_31710_cov_93.7	NRPS-like	NA	No	1	31284	31285	NA;IAIMAI_39330;IAIMAI_39335;IAIMAI_39340;IAIMAI_39345;IAIMAI_39350;IAIMAI_39355;IAIMAI_39360;IAIMAI_39365;IAIMAI_39370;IAIMAI_39375;IAIMAI_39380;IAIMAI_39385;IAIMAI_39390;IAIMAI_39395;IAIMAI_39400;IAIMAI_39405;IAIMAI_39410;IAIMAI_39415;IAIMAI_39420;IAIMAI_39425;IAIMAI_39430;IAIMAI_39435;IAIMAI_39440;IAIMAI_39445;IAIMAI_39450	25	TP_methylase;AMP-binding;PP-binding;Abhydrolase_6	NA	NA
AW107	antiSMASH	NODE_18490_length_3282_cov_13.5	Ranthipeptide	NA	No	1	3282	3283	NA;IAIMAI_556380;IAIMAI_556385	2	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085	NA	NA
AW107	antiSMASH	NODE_18601_length_3271_cov_21.4	RiPP-like	NA	No	1	3271	3272	NA;IAIMAI_558130;IAIMAI_558135;IAIMAI_558140	3	YcaO	NA	NA
AW107	antiSMASH	NODE_186_length_31530_cov_152.0	NRPS	NA	No	1	24128	24129	NA;IAIMAI_39860;IAIMAI_39865;IAIMAI_39870;IAIMAI_39875;IAIMAI_39880;IAIMAI_39885;IAIMAI_39890;IAIMAI_39895;IAIMAI_39900;IAIMAI_39905;IAIMAI_39910;IAIMAI_39915;IAIMAI_39920;IAIMAI_39925;IAIMAI_39930;IAIMAI_39935;IAIMAI_39940;IAIMAI_39945;IAIMAI_39950;IAIMAI_39955	20	PP-binding;Condensation;AMP-binding;Abhydrolase_6;PP-binding;PP-binding;PKS_KS;adh_short;AMP-binding;PP-binding;Abhydrolase_6;ADH_N;ADH_zinc_N;t2fas;AMP-binding;PP-binding;PKS_AT;Condensation	NA	NA
AW107	antiSMASH	NODE_189_length_31464_cov_33.5	Phosphonate	NA	No	9223	25536	16315	NA;IAIMAI_40480;IAIMAI_40485;IAIMAI_40490;IAIMAI_40495;IAIMAI_40500;IAIMAI_40505;IAIMAI_40510;IAIMAI_40515;IAIMAI_40520;IAIMAI_40525	10	Polysacc_synt;NTP_transf_3;Aminotran_5;CTP_transf_like;phosphonates;PEP_mutase;TPP_enzyme_N;TPP_enzyme_C;Polysacc_synt_2;RmlD_sub_bind;NAD_binding_4;NTP_transf_3	NA	NA
AW107	antiSMASH	NODE_19120_length_3225_cov_21.1	Terpene	NA	No	1	3225	3226	NA;IAIMAI_566215;IAIMAI_566220;IAIMAI_566225	3	phytoene_synt	NA	NA
AW107	antiSMASH	NODE_199_length_31010_cov_67.3	Ranthipeptide	NA	No	1	14028	14029	NA;IAIMAI_41750;IAIMAI_41755;IAIMAI_41760;IAIMAI_41765;IAIMAI_41770;IAIMAI_41775;IAIMAI_41780;IAIMAI_41785;IAIMAI_41790;IAIMAI_41795;IAIMAI_41800;IAIMAI_41805	12	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;TIGR03973;SCIFF	NA	NA
AW107	antiSMASH	NODE_1_length_144459_cov_120.3	NRPS-like	NA	No	1	26670	26671	IAIMAI_00005;IAIMAI_00010;IAIMAI_00015;IAIMAI_00020;IAIMAI_00025;IAIMAI_00030;IAIMAI_00035;IAIMAI_00040;IAIMAI_00045;IAIMAI_00050;IAIMAI_00055;IAIMAI_00060;IAIMAI_00065;IAIMAI_00070;IAIMAI_00075;IAIMAI_00080;IAIMAI_00085;IAIMAI_00090;IAIMAI_00095;IAIMAI_00100;IAIMAI_00105;IAIMAI_00110;IAIMAI_00115;IAIMAI_00120;IAIMAI_00125	25	Metallophos_2;PP-binding;AMP-binding;Glycos_transf_2;Glycos_transf_1;Aminotran_5	NA	NA
AW107	antiSMASH	NODE_20452_length_3107_cov_20.3	RRE-containing	NA	No	1	3107	3108	NA;IAIMAI_586535;IAIMAI_586540;IAIMAI_586545;IAIMAI_586550;IAIMAI_586555;IAIMAI_586560	6	PF05402;Stand_Alone_Lasso_RRE;PF04055;Fer4_12	NA	NA
AW107	antiSMASH	NODE_20637_length_3090_cov_14.7	RRE-containing	NA	No	1	3090	3091	NA;IAIMAI_589030;IAIMAI_589035;IAIMAI_589040;IAIMAI_589045;IAIMAI_589050	5	PF05402;Stand_Alone_Lasso_RRE	NA	NA
AW107	antiSMASH	NODE_2094_length_10989_cov_37.2	HglE-KS	NA	No	1	10989	10990	NA;IAIMAI_174690;IAIMAI_174695;IAIMAI_174700	3	hglD;hglE;PKS_AT;PP-binding	NA	NA
AW107	antiSMASH	NODE_21175_length_3047_cov_11.5	Terpene	NA	No	1	3047	3048	NA;IAIMAI_596660;IAIMAI_596665;IAIMAI_596670	3	terpene_cyclase	NA	NA
AW107	antiSMASH	NODE_211_length_30265_cov_114.8	Terpene	NA	No	8406	29470	21066	NA;IAIMAI_43465;IAIMAI_43470;IAIMAI_43475;IAIMAI_43480;IAIMAI_43485;IAIMAI_43490;IAIMAI_43495;IAIMAI_43500;IAIMAI_43505;IAIMAI_43510;IAIMAI_43515;IAIMAI_43520;IAIMAI_43525;IAIMAI_43530;IAIMAI_43535;IAIMAI_43540;IAIMAI_43545	17	phytoene_synt	NA	NA
AW107	antiSMASH	NODE_21383_length_3031_cov_25.0	Ranthipeptide	NA	No	1	3031	3032	NA;IAIMAI_599640;IAIMAI_599645	2	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085	NA	NA
AW107	antiSMASH	NODE_215_length_30038_cov_97.4	RRE-containing	NA	No	11120	30038	18920	NA;IAIMAI_44010;IAIMAI_44015;IAIMAI_44020;IAIMAI_44025;IAIMAI_44030;IAIMAI_44035;IAIMAI_44040;IAIMAI_44045;IAIMAI_44050;IAIMAI_44055;IAIMAI_44060;IAIMAI_44065;IAIMAI_44070;IAIMAI_44075;IAIMAI_44080;IAIMAI_44085;IAIMAI_44090;IAIMAI_44095;IAIMAI_44100;IAIMAI_44105;IAIMAI_44110;IAIMAI_44115	22	PALP;Fe-ADH;PF04055;Fer4_12;PF05402;Stand_Alone_Lasso_RRE;PP-binding	NA	NA
AW107	antiSMASH	NODE_2165_length_10784_cov_129.5	Arylpolyene	NA	No	1	10784	10785	NA;IAIMAI_178025;IAIMAI_178030;IAIMAI_178035;IAIMAI_178040;IAIMAI_178045;IAIMAI_178050;IAIMAI_178055;IAIMAI_178060;IAIMAI_178065;IAIMAI_178070;IAIMAI_178075;IAIMAI_178080	12	Glycos_transf_2;APE_KS2;PP-binding;APE_KS2	NA	NA
AW107	antiSMASH	NODE_218_length_29982_cov_49.4	Cyclic-lactone-autoinducer	NA	No	1	13101	13102	NA;IAIMAI_44320;IAIMAI_44325;IAIMAI_44330;IAIMAI_44335;IAIMAI_44340;IAIMAI_44345;IAIMAI_44350;IAIMAI_44355;IAIMAI_44360;IAIMAI_44365;IAIMAI_44370;IAIMAI_44375;IAIMAI_44380	13	GATase_7;AgrB	NA	NA
AW107	antiSMASH	NODE_222_length_29903_cov_73.5	RRE-containing	NA	No	13908	29903	15997	NA;IAIMAI_44925;IAIMAI_44930;IAIMAI_44935;IAIMAI_44940;IAIMAI_44945;IAIMAI_44950;IAIMAI_44955;IAIMAI_44960;IAIMAI_44965;IAIMAI_44970;IAIMAI_44975;IAIMAI_44980;IAIMAI_44985;IAIMAI_44990	14	Glycos_transf_1;Glycos_transf_1;RmlD_sub_bind;PF05402;Stand_Alone_Lasso_RRE;Aminotran_5;Aminotran_1_2;DegT_DnrJ_EryC1	NA	NA
AW107	antiSMASH	NODE_2396_length_10303_cov_98.3	RiPP-like	NA	No	1	7588	7589	NA;IAIMAI_188550;IAIMAI_188555;IAIMAI_188560;IAIMAI_188565;IAIMAI_188570;IAIMAI_188575	6	TIGR01193;Peptidase_C39	NA	NA
AW107	antiSMASH	NODE_273_length_27611_cov_102.4	Betalactone	NA	No	1	22801	22802	NA;IAIMAI_51460;IAIMAI_51465;IAIMAI_51470;IAIMAI_51475;IAIMAI_51480;IAIMAI_51485;IAIMAI_51490;IAIMAI_51495;IAIMAI_51500;IAIMAI_51505;IAIMAI_51510;IAIMAI_51515;IAIMAI_51520;IAIMAI_51525;IAIMAI_51530;IAIMAI_51535;IAIMAI_51540;IAIMAI_51545	18	AMP-binding;HMGL-like;2-Hacid_dh_C;Asn_synthase	NA	NA
AW107	antiSMASH	NODE_2741_length_9561_cov_75.3	Terpene	NA	No	1	9561	9562	NA;IAIMAI_203585;IAIMAI_203590;IAIMAI_203595;IAIMAI_203600;IAIMAI_203605;IAIMAI_203610;IAIMAI_203615;IAIMAI_203620;IAIMAI_203625	9	ThiF;terpene_cyclase	NA	NA
AW107	antiSMASH	NODE_2745_length_9560_cov_50.3	Ranthipeptide	NA	No	1	9560	9561	NA;IAIMAI_203775;IAIMAI_203780;IAIMAI_203785;IAIMAI_203790;IAIMAI_203795;IAIMAI_203800;IAIMAI_203805;IAIMAI_203810;IAIMAI_203815;IAIMAI_203820;IAIMAI_203825;IAIMAI_203830;IAIMAI_203835	13	TIGR03973;SCIFF;Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;SPASM;Aminotran_1_2;ThiF	NA	NA
AW107	antiSMASH	NODE_3019_length_9066_cov_121.0	RRE-containing	NA	No	1	9066	9067	NA;IAIMAI_214910;IAIMAI_214915;IAIMAI_214920;IAIMAI_214925;IAIMAI_214930;IAIMAI_214935;IAIMAI_214940;IAIMAI_214945;IAIMAI_214950;IAIMAI_214955;IAIMAI_214960	11	PF05402;Stand_Alone_Lasso_RRE	NA	NA
AW107	antiSMASH	NODE_305_length_26559_cov_109.4	Ranthipeptide	NA	No	4388	25815	21429	NA;IAIMAI_55200;IAIMAI_55205;IAIMAI_55210;IAIMAI_55215;IAIMAI_55220;IAIMAI_55225;IAIMAI_55230;IAIMAI_55235;IAIMAI_55240;IAIMAI_55245;IAIMAI_55250;IAIMAI_55255;IAIMAI_55260;IAIMAI_55265;IAIMAI_55270;IAIMAI_55275;IAIMAI_55280;IAIMAI_55285;IAIMAI_55290;IAIMAI_55295	20	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085	NA	NA
AW107	antiSMASH	NODE_308_length_26358_cov_149.6	Ranthipeptide	NA	No	7144	26358	19216	NA;IAIMAI_55655;IAIMAI_55660;IAIMAI_55665;IAIMAI_55670;IAIMAI_55675;IAIMAI_55680;IAIMAI_55685;IAIMAI_55690;IAIMAI_55695;IAIMAI_55700;IAIMAI_55705;IAIMAI_55710;IAIMAI_55715;IAIMAI_55720;IAIMAI_55725;IAIMAI_55730;IAIMAI_55735;IAIMAI_55740;IAIMAI_55745;IAIMAI_55750	20	Ranthipeptide_rSAM_RRE;Fer4_12;PF04055;TIGR04085;SPASM;CBM_48;Alpha-amylase	NA	NA
AW107	antiSMASH	NODE_3290_length_8657_cov_133.0	Other	NA	No	1	8657	8658	NA;IAIMAI_225480;IAIMAI_225485;IAIMAI_225490;IAIMAI_225495;IAIMAI_225500;IAIMAI_225505;IAIMAI_225510;IAIMAI_225515;IAIMAI_225520	9	LmbU	NA	NA
AW107	antiSMASH	NODE_3475_length_8405_cov_116.2	NRPS-like	NA	No	1	8405	8406	NA;IAIMAI_232305;IAIMAI_232310;IAIMAI_232315;IAIMAI_232320;IAIMAI_232325	5	AMP-binding;PP-binding;Poly_export	NA	NA
AW107	antiSMASH	NODE_3531_length_8328_cov_81.2	RiPP-like	NA	No	1	8328	8329	NA;IAIMAI_234180;IAIMAI_234185;IAIMAI_234190;IAIMAI_234195;IAIMAI_234200;IAIMAI_234205;IAIMAI_234210;IAIMAI_234215	8	Fer4_12;Fer4_12;YcaO	NA	NA
AW107	antiSMASH	NODE_375_length_23996_cov_137.8	NRPS	NA	No	1	23996	23997	NA;IAIMAI_62950;IAIMAI_62955;IAIMAI_62960;IAIMAI_62965;IAIMAI_62970;IAIMAI_62975;IAIMAI_62980;IAIMAI_62985;IAIMAI_62990;IAIMAI_62995;IAIMAI_63000;IAIMAI_63005;IAIMAI_63010;IAIMAI_63015;IAIMAI_63020;IAIMAI_63025;IAIMAI_63030;IAIMAI_63035;IAIMAI_63040;IAIMAI_63045;IAIMAI_63050;IAIMAI_63055;IAIMAI_63060	23	AMP-binding;AMP-binding;PP-binding;Condensation;PP-binding;Fer4_12;PF04055;Fer4_12;PF04055;TIGR04085	NA	NA
AW107	antiSMASH	NODE_3950_length_7797_cov_99.3	Cyclic-lactone-autoinducer	NA	No	1	7797	7798	NA;IAIMAI_248720;IAIMAI_248725;IAIMAI_248730;IAIMAI_248735;IAIMAI_248740;IAIMAI_248745;IAIMAI_248750;IAIMAI_248755	8	AgrB;AgrB	NA	NA
AW107	antiSMASH	NODE_4088_length_7644_cov_100.4	Resorcinol	NA	No	1	7644	7645	NA;IAIMAI_253260;IAIMAI_253265;IAIMAI_253270;IAIMAI_253275;IAIMAI_253280;IAIMAI_253285	6	PP-binding;DarB	NA	NA
AW107	antiSMASH	NODE_413_length_22942_cov_77.4	Terpene	NA	No	1922	22942	21022	NA;IAIMAI_66920;IAIMAI_66925;IAIMAI_66930;IAIMAI_66935;IAIMAI_66940;IAIMAI_66945;IAIMAI_66950;IAIMAI_66955;IAIMAI_66960;IAIMAI_66965;IAIMAI_66970;IAIMAI_66975;IAIMAI_66980;IAIMAI_66985;IAIMAI_66990;IAIMAI_66995;IAIMAI_67000;IAIMAI_67005;IAIMAI_67010;IAIMAI_67015	20	CTP_transf_like;phytoene_synt;phytoene_synt	NA	NA
