sample	contig	NCBItaxID	NCBIrank	NCBItaxName	nFrags	retainedFrags	taxassignedFrags	fractionAgreement	lineage
Zape1	NODE_176_length_41577_cov_63.1	20711	species	CAG-510 sp900550475	48	47	22	0.52	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510 sp900550475
Zape1	NODE_1784_length_16428_cov_62.2	8055	genus	Merdousia	14	12	12	1.0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia
Zape1	NODE_4742_length_10012_cov_48.4	54330	species	HGM11525 sp017483065	9	9	4	0.56	d_Bacteria;p_Firmicutes A;c_Clostridia;o_UBA1381;f_UBA1381;g_HGM11525;s_HGM11525 sp017483065
Zape1	NODE_9745_length_6627_cov_26.9	10786	species	Gemmiger sp004555405	9	8	5	0.97	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Gemmiger;s_Gemmiger sp004555405
Zape1	NODE_18706_length_4363_cov_26.1	23131	genus	VSOB01	6	6	5	0.76	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_VSOB01
UT43	NODE_9106_length_6747_cov_248.1	664	family	Erysipelotrichaceae	10	10	5	0.5	d_Bacteria;p_Firmicutes;c_Bacilli;o_Erysipelotrichales;f_Erysipelotrichaceae
UT43	NODE_15544_length_4515_cov_35.3	12447	species	CAG-273 sp000437855	2	2	1	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-508;g_CAG-273;s_CAG-273 sp000437855
AW110A	NODE_241_length_31851_cov_95.7	39384	species	VUNI01 sp009695765	28	27	25	0.96	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_VUNI01;s_VUNI01 sp009695765
AW110A	NODE_4969_length_8232_cov_41.2	3924	species	Ruminococcus C sp000433635	12	11	8	0.87	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus C;s_Ruminococcus C sp000433635
AW110A	NODE_19429_length_3283_cov_30.1	3264	genus	Succinivibrio	3	2	2	1.0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Succinivibrionaceae;g_Succinivibrio
UT30	NODE_160_length_147010_cov_45.5	1794	species	Eubacterium F sp003491505	152	146	111	0.87	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium F;s_Eubacterium F sp003491505
UT30	NODE_431_length_106435_cov_49.7	5180	species	UBA1685 sp002320595	100	94	49	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-138;g_UBA1685;s_UBA1685 sp002320595
UT30	NODE_878_length_78294_cov_27.6	13855	species	UBA1829 sp900548385	78	74	57	0.81	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_Victivallales;f_UBA1829;g_UBA1829;s_UBA1829 sp900548385
UT30	NODE_1336_length_64607_cov_46.4	42	family	Enterococcaceae	104	99	75	0.76	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae
UT30	NODE_1823_length_55710_cov_30.3	31018	species	HGM11416 sp900768525	74	71	33	0.51	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_HGM11416;s_HGM11416 sp900768525
Zape1	NODE_22851_length_3796_cov_261.4	7021	species	Cryptobacteroides sp000433355	8	5	4	0.67	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp000433355
Zape2	NODE_294_length_32661_cov_81.6	927	genus	Lachnospira	36	36	29	0.82	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
Zape2	NODE_2760_length_11145_cov_168.9	7	genus	Escherichia	9	9	5	0.51	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia
Zape2	NODE_8523_length_5065_cov_239.7	4210	species	Fimenecus sp004556705	5	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Fimenecus;s_Fimenecus sp004556705
AW107	NODE_189_length_31464_cov_33.5	83839	species	MX-02 sp006954405	27	26	20	0.76	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_MX-02;s_MX-02 sp006954405
AW107	NODE_2165_length_10784_cov_129.5	7021	species	Cryptobacteroides sp000433355	11	11	8	0.7	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp000433355
AW107	NODE_10683_length_4447_cov_24.0	19649	species	Bruticola sp004554425	5	4	3	0.68	d_Bacteria;p_Eremiobacterota;c_Xenobia;o_Xenobiales;f_Xenobiaceae;g_Bruticola;s_Bruticola sp004554425
Zape3	NODE_4_length_157460_cov_207.5	2313	species	Roseburia hominis	156	151	104	0.71	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Roseburia;s_Roseburia hominis
Zape3	NODE_824_length_25993_cov_98.5	1939	genus	CAG-83	23	23	20	0.86	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_CAG-83
Zape3	NODE_2748_length_11535_cov_68.3	287	genus	Agathobacter	17	16	10	0.76	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Agathobacter
UT30	NODE_13603_length_16037_cov_45.4	49668	species	UMGS1585 sp900766355	17	17	14	0.86	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia;o_Gastranaerophilales;f_Gastranaerophilaceae;g_UMGS1585;s_UMGS1585 sp900766355
UT30	NODE_16146_length_14076_cov_24.5	836	family	CAG-74	12	12	6	0.66	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74
UT30	NODE_18787_length_12437_cov_16.7	2	superkingdom	Bacteria	13	13	11	0.85	d_Bacteria
UT30	NODE_23084_length_10472_cov_36.0	2	superkingdom	Bacteria	7	7	7	1.0	d_Bacteria
UT30	NODE_25884_length_9525_cov_142.5	12796	genus	CAG-303	8	8	6	0.71	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303
UT30	NODE_29472_length_8480_cov_13.9	6000	genus	Anaerococcus	9	9	6	0.75	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Peptoniphilaceae;g_Anaerococcus
UT30	NODE_35326_length_7200_cov_27.6	13647	species	UBA644 sp900547165	10	9	5	0.7	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_UBA644;g_UBA644;s_UBA644 sp900547165
UT30	NODE_41856_length_6160_cov_18.9	12313	species	Coprococcus A sp900548825	5	4	3	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Coprococcus A;s_Coprococcus A sp900548825
UT30	NODE_48743_length_5328_cov_101.1	1512	genus	Anaerobutyricum	6	5	5	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Anaerobutyricum
UT30	NODE_59663_length_4388_cov_14.9	6074	genus	UBA644	6	6	6	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_UBA644;g_UBA644
UT43	NODE_6232_length_8859_cov_58.3	15010	species	CAG-95 sp000436115	10	10	9	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-95;s_CAG-95 sp000436115
UT43	NODE_10585_length_6038_cov_44.8	6779	species	Eubacterium G sp000434315	10	9	6	0.97	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium G;s_Eubacterium G sp000434315
UT43	NODE_19178_length_3836_cov_25.6	2561	genus	Ruminococcus	3	3	3	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus
AW110A	NODE_585_length_23511_cov_31.0	16427	species	Sutterella sp905186105	22	21	15	0.76	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Sutterella;s_Sutterella sp905186105
AW110A	NODE_8121_length_6039_cov_64.1	51924	species	Arthrobacter B gandavensis	6	5	4	0.8	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter B;s_Arthrobacter B gandavensis
UT30	NODE_12_length_302627_cov_37.6	481	order	Coriobacteriales	317	301	200	0.74	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia;o_Coriobacteriales
UT30	NODE_221_length_133262_cov_29.2	13855	species	UBA1829 sp900548385	136	124	85	0.78	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_Victivallales;f_UBA1829;g_UBA1829;s_UBA1829 sp900548385
UT30	NODE_541_length_97127_cov_472.7	9468	species	Faecisoma sp000432255	118	113	78	0.73	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660;g_Faecisoma;s_Faecisoma sp000432255
UT30	NODE_980_length_74408_cov_35.7	8781	species	Ruminococcus F champanellensis	92	88	56	0.72	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus F;s_Ruminococcus F champanellensis
UT30	NODE_1440_length_62069_cov_21.5	21890	species	UMGS1696 sp900753285	72	66	48	0.83	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_CAG-272;g_UMGS1696;s_UMGS1696 sp900753285
UT30	NODE_14141_length_15563_cov_181.7	37	class	Clostridia	29	26	17	0.51	d_Bacteria;p_Firmicutes A;c_Clostridia
UT30	NODE_16696_length_13707_cov_58.8	11314	species	Ventricola sp900542445	12	12	7	0.58	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74;g_Ventricola;s_Ventricola sp900542445
UT30	NODE_19302_length_12176_cov_59.1	517	family	Ruminococcaceae	12	12	9	0.86	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae
UT30	NODE_23603_length_10272_cov_56.8	1548	genus	Holdemanella	12	12	10	0.99	d_Bacteria;p_Firmicutes;c_Bacilli;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Holdemanella
UT30	NODE_26629_length_9293_cov_13.2	4145	species	Paraprevotella clara	16	15	10	0.72	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Paraprevotella;s_Paraprevotella clara
UT30	NODE_30912_length_8126_cov_32.7	2561	genus	Ruminococcus	21	21	5	0.54	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_Ruminococcus
UT30	NODE_36419_length_7005_cov_84.3	83594	genus	UBA71	7	7	6	0.86	d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_UBA71
UT30	NODE_42899_length_6018_cov_78.5	1793	genus	Eubacterium F	10	10	4	0.56	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Eubacterium F
UT30	NODE_50565_length_5145_cov_240.6	927	genus	Lachnospira	4	4	4	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
UT30	NODE_61278_length_4276_cov_26.0	42157	genus	RUG13868	4	4	2	0.65	d_Bacteria;p_Firmicutes;c_Bacilli;o_RF39;f_UBA660;g_RUG13868
AW108	NODE_10888_length_4464_cov_18.8	14918	species	UMGS363 sp900541495	2	2	1	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_UMGS363;s_UMGS363 sp900541495
UT43	NODE_58_length_75660_cov_249.6	81542	species	UBA4636 sp017407325	85	82	37	0.55	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_UBA4636;s_UBA4636 sp017407325
UT43	NODE_1071_length_23959_cov_77.4	38604	genus	UMGS1649	23	22	19	0.9	d_Bacteria;p_Firmicutes A;c_Clostridia;o_TANB77;f_CAG-465;g_UMGS1649
UT43	NODE_2671_length_14797_cov_45.9	1599	family	UBA953	13	13	6	0.54	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_UBA953
UT43	NODE_5916_length_9142_cov_174.6	8496	genus	Planococcus	14	13	11	0.98	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Planococcus
UT43	NODE_9787_length_6392_cov_135.9	37	class	Clostridia	9	9	9	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia
UT43	NODE_17260_length_4155_cov_60.5	4008	genus	Brachybacterium	5	4	3	0.75	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_Brachybacterium
AW110A	NODE_384_length_27596_cov_139.7	4144	genus	Paraprevotella	34	33	20	0.89	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Paraprevotella
AW110A	NODE_5903_length_7395_cov_56.2	16925	species	Phascolarctobacterium A sp900547415	9	8	5	0.66	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium A;s_Phascolarctobacterium A sp900547415
AW110A	NODE_21563_length_3034_cov_22.3	4145	species	Paraprevotella clara	4	4	3	0.67	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Paraprevotella;s_Paraprevotella clara
UT30	NODE_78357_length_3395_cov_26.3	12482	species	CAG-83 sp900555735	6	4	3	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_CAG-83;s_CAG-83 sp900555735
Zape1	NODE_290_length_34347_cov_98.0	517	family	Ruminococcaceae	35	32	22	0.61	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae
Zape1	NODE_1934_length_15819_cov_138.9	3348	species	Prevotella sp000434975	26	25	17	0.97	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Prevotella;s_Prevotella sp000434975
Zape1	NODE_4980_length_9737_cov_38.5	4638	genus	COE1	11	11	10	0.91	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_COE1
Zape1	NODE_9853_length_6574_cov_73.9	2504	genus	Eubacterium R	7	7	4	0.79	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Eubacterium R
Zape1	NODE_18895_length_4332_cov_21.5	12354	species	Cryptobacteroides sp000432515	7	6	6	1.0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp000432515
Zape2	NODE_2_length_160355_cov_166.6	1624	genus	CAG-177	176	169	133	0.85	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_CAG-177
Zape2	NODE_1711_length_14912_cov_79.0	927	genus	Lachnospira	15	14	8	0.54	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
Zape2	NODE_5307_length_7192_cov_63.1	2066	species	Kocuria rosea	11	11	8	0.78	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Kocuria;s_Kocuria rosea
Zape2	NODE_16038_length_3130_cov_18.6	2	superkingdom	Bacteria	3	3	2	0.67	d_Bacteria
UT30	NODE_38504_length_6656_cov_11.8	990	genus	Faecousia	6	6	5	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia
UT30	NODE_45092_length_5738_cov_25.3	620	genus	Veillonella	8	7	6	0.81	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Veillonella
UT30	NODE_55184_length_4723_cov_14.4	50207	species	Copromorpha sp905193765	6	6	4	0.52	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Anaerovoracaceae;g_Copromorpha;s_Copromorpha sp905193765
UT30	NODE_65566_length_4009_cov_13.7	37	class	Clostridia	4	4	4	1.0	d_Bacteria;p_Firmicutes A;c_Clostridia
UT30	NODE_73470_length_3607_cov_12.6	37	class	Clostridia	5	4	3	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia
UT30	NODE_84615_length_3161_cov_15.0	31762	species	UBA5905 sp900763035	2	2	1	0.5	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_UBA5905;s_UBA5905 sp900763035
Zape1	NODE_660_length_25320_cov_52.4	34	genus	Acinetobacter	29	28	20	0.89	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter
Zape1	NODE_2761_length_13271_cov_137.0	2895	species	KLE1615 sp900066985	18	16	11	0.79	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_KLE1615;s_KLE1615 sp900066985
Zape1	NODE_6010_length_8792_cov_74.3	2	superkingdom	Bacteria	16	15	10	0.76	d_Bacteria
Zape1	NODE_13270_length_5470_cov_19.9	25961	species	Victivallis sp900550905	2	2	1	0.5	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_Victivallales;f_Victivallaceae;g_Victivallis;s_Victivallis sp900550905
Zape1	NODE_1097_length_20480_cov_258.0	12531	species	Cryptobacteroides sp900544195	31	30	10	0.6	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp900544195
Zape1	NODE_3459_length_11838_cov_58.8	8055	genus	Merdousia	10	9	8	1.0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312;g_Merdousia
Zape1	NODE_7566_length_7702_cov_62.0	8054	family	CAG-312	3	3	2	0.67	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_CAG-312
Zape1	NODE_16153_length_4797_cov_21.9	330	order	Oscillospirales	3	3	2	0.67	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
Zape1	NODE_25471_length_3519_cov_22.1	1631	genus	UBA1067	4	4	4	1.0	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae;o_RFP12;f_UBA1067;g_UBA1067
Zape2	NODE_611_length_24727_cov_81.1	2	superkingdom	Bacteria	5	4	2	0.66	d_Bacteria
Zape2	NODE_3349_length_9770_cov_62.9	217	species	Enterococcus B hirae	11	10	6	0.85	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B;s_Enterococcus B hirae
UT30	NODE_19856_length_11902_cov_16.7	286	family	Lachnospiraceae	15	13	9	0.99	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
UT30	NODE_24107_length_10100_cov_59.9	831	genus	Peribacillus	10	10	9	1.0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-1321;g_Peribacillus
UT30	NODE_27444_length_9055_cov_40.0	2038	species	CAG-41 sp900066215	10	9	5	0.79	d_Bacteria;p_Firmicutes A;c_Clostridia;o_UBA1381;f_UBA1381;g_CAG-41;s_CAG-41 sp900066215
UT30	NODE_171_length_143144_cov_39.5	481	order	Coriobacteriales	139	133	78	0.64	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia;o_Coriobacteriales
UT30	NODE_464_length_103273_cov_82.2	3414	genus	Desulfovibrio	102	96	74	0.85	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio
UT30	NODE_896_length_77487_cov_53.4	10	class	Bacilli	74	71	40	0.58	d_Bacteria;p_Firmicutes;c_Bacilli
UT30	NODE_1370_length_63856_cov_364.8	81542	species	UBA4636 sp017407325	71	68	37	0.64	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_UBA4636;s_UBA4636 sp017407325
UT30	NODE_1903_length_54712_cov_44.6	10264	species	UBA1436 sp002329395	77	70	42	0.68	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales;f_Elusimicrobiaceae;g_UBA1436;s_UBA1436 sp002329395
UT30	NODE_2601_length_46076_cov_96.6	2504	genus	Eubacterium R	46	44	34	0.88	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae;g_Eubacterium R
UT30	NODE_3671_length_38263_cov_19.4	331	family	Acutalibacteraceae	36	34	19	0.56	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae
UT30	NODE_4596_length_33600_cov_607.8	12531	species	Cryptobacteroides sp900544195	38	34	15	0.52	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_Cryptobacteroides;s_Cryptobacteroides sp900544195
UT30	NODE_5551_length_29889_cov_126.3	927	genus	Lachnospira	27	27	24	0.95	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Lachnospira
UT30	NODE_6989_length_25757_cov_56.3	286	family	Lachnospiraceae	19	18	11	0.61	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
